"","klasifikasi","score","text"
"48","Negatif",-1," bagaimana kabarnya desa wadas oi sama bgmn kabar kasus e ktp"
"49","Negatif",-3," wadas tuh k diurusin ga kasian a sama warganya sendiri"
"50","Netral",0," hooh gak bakal terjadi serti di wadas"
"51","Netral",0,"trisatya bnyak kok hasil nya jangan tutumata lah kalian mbenci kolam renang massal untuk w "
"52","Negatif",-1," ali rakyat wadas dan kendeng menjadi saksi beta dzalim nya kemimnan ganjar pranowo sebagai gubernur jawa tengah daera"
"53","Negatif",-1," wadas tuh urusin"
"54","Netral",0," wadas bagaimana"
"55","Negatif",-1," gubernur dengan segudang eatasi membuat kolam renang massal tingkat kemiskinan tertinggi dan m "
"56","Negatif",-1," melawan ini strategy goblok loe dengan membuat ump ling rend "
"57","Negatif",-1,"  melawan masak iya udh ssai"
"58","Positif",2," kartika kalau ganjar yg jd esiden berikutnya d disimlkan kondisi indonesia tdk akan terjadi rubahan kemajuan gak usah di"
"59","Netral",0,"dat ugr sekitar r miliar warga desa wadas purworejo ini mengaku bingung mau dibuat a uang sebanyak itu"
"60","Negatif",-1," wadas melawan"
"61","Negatif",-2," kos gerakan nasional  akan larkan br polri ngurus tki aja ndak becus korban tki yg meninggal naik x  ginian kok"
"62","Negatif",-1," di wadas kondisinya saat ini gimana boscolek melawan"
"63","Negatif",-1," wadas gimana udah rembugan belum"
"64","Negatif",-2," gimmick murahan semua juga tau penindasan rakyat di wadas juga karna tangan berdarah dia juga"
"65","Negatif",-1,"di framing kaya a diles kaya angagal tk berestasi ya teteaja terblishgt lho den  "
"66","Negatif",-1," jangan dilih mimn yg hanya mikirin ta ga ada solusinya alagi sami nyusahin rakyat sert "
"67","Positif",1," gak rlu pak budi belok ke soal koruimemangnya kalau ganjar yg terlih juga bisa bebas korui ya "
"68","Positif",1,"gak rlu pak budi belok ke soal koruimemangnya kalau ganjar yg terlih juga bisa bebas korui ya coba li "
"69","Positif",2,"kalau ganjar yg jd esiden berikutnya d disimlkan kondisi indonesia tdk akan terjadi rubahan kemajuan gak u "
"70","Netral",0," wadas wasdalah kalau dia jadi esidenngeriiii"
"71","Netral",0," ali habis tambang semen kendeng terbitlah wadas purworejojateng tidak ramah untuk wong cilik wong cilik selalu terusi"
"72","Negatif",-4," hingga larut malam ngobrol banyak rkara mulai dari kejahatan ngukuran tanah rakyatwadas nggusuran kriminalisas"
"73","Netral",0," ali habis tambang semen kendeng terbitlah wadas purworejojateng tidak ramah untuk wong cilik wong cilik selalu terusi"
"74","Netral",0," tambang desa wadas a kbar"
"75","Negatif",-1," gejolak wadas tidka bisa dijadikan rameter jgn terlalu semt cara berfikir"
"76","Netral",0,"marm jadi ikutan keruk wadas deh "
"77","Netral",0," wadas in kabare k"
"78","Negatif",-1," ali rakyat wadas dan kendeng menjadi saksi beta dzalim nya kemimnan ganjar pranowo sebagai gubernur jawa tengah daera"
"79","Negatif",-3," survei nya di jateng ketua lembaga survei nya jokower tulen manut rambut tih kerit kisi kisi nya nghianat warga wadas"
"80","Netral",0," bank jateng mega proyek ekt wadas demen nonton boke ump ling kecilsemoga milihan esiden taun i "
"81","Negatif",-1," jangan lupa wadas"
"82","Netral",0,"melawan semoga dat solusi yg yg terbaik"
"83","Negatif",-3," melawan bagi kami nilainilai tanah wadas tidak bisa digantikan dengan segepok uang ganti rugi atau ugrsedari awal konseugr"
"84","Negatif",-3," melawan bagi kami nilainilai tanah wadas tidak bisa digantikan dengan segepok uang ganti rugi atau ugrsedari awal konseugr"
"85","Negatif",-1,"melawan ini berarti hoaks yaa "
"86","Positif",1,"samuel  dumdum tem keren nyet scr gw kan cerdasga "
"87","Netral",0," ali habis tambang semen kendeng terbitlah wadas purworejojateng tidak ramah untuk wong cilik wong cilik selalu terusi"
"88","Negatif",-1," ali rakyat wadas dan kendeng menjadi saksi beta dzalim nya kemimnan ganjar pranowo sebagai gubernur jawa tengah daera"
"89","Netral",0," rene k nang wadas ben ngerti ngo"
"90","Netral",0," ganjar dekat dengan rakyat wadas "
"91","Negatif",-3," wadasmenggugat wadas kerendengan isu nasional saja belum diberesi"
"92","Negatif",-1," piye kabare melawan tambang untuk rakyat  "
"93","Negatif",-2," tdk sukaprabowo emosional dan kadang tdk kontrol dlm sisi a dan dmnpuan masak dia lagi dia lagi ga"
"94","Negatif",-1,"wadas tambang legal ya "
"95","Netral",0," nunggu uatenya wadas a kabar"
"96","Netral",0," org baik kahk warga wadas baik"
"97","Netral",0," cukuwadas jgn indonesia "
"98","Netral",0," wadas a kabar"
"99","Positif",3," hrs nya kembalikan dulu ke diri sendiri bersih ngk selama ini dari korui  ingat ngk korui e kt "
"100","Netral",0," cayah lar bib "
"101","Positif",1," back  bln do maho kalian ngain aja polri  dilarkan ke lisi sejak  bln lalu laku tak kunjung ditangka"
"102","Negatif",-1," ali rakyat wadas dan kendeng menjadi saksi beta dzalim nya kemimnan ganjar pranowo sebagai gubernur jawa tengah daera"
"103","Netral",0," hadirilah dan syiarkanlah munajat akbar reuni  "
"104","Netral",0," tulung bekingan disikat semua termasuj tni lri anggota d kalo jd bekingan mereka sikat semua b "
"105","Netral",0," aniesid trans jakarta sumber waras bumn pertamina ektp wadas dana bansos dan masih ba "
"106","Negatif",-1," ali rakyat wadas dan kendeng menjadi saksi beta dzalim nya kemimnan ganjar pranowo sebagai gubernur jawa tengah daera"
"107","Negatif",-2," pengalaman memiskinkan rakyat jatengwadas mana wadas"
"108","Netral",0," beresin donkk wadass selamatkan warga wadas "
"109","Negatif",-1," ali rakyat wadas dan kendeng menjadi saksi beta dzalim nya kemimnan ganjar pranowo sebagai gubernur jawa tengah daera"
"110","Negatif",-4,"hingga larut malam ngobrol banyak rkara mulai dari kejahatan ngukuran tanah rakyatwadas nggusuran krimina "
"111","Netral",0," wadas gmn tuhwhere were you man"
"112","Negatif",-1," gita kena dg wadas kadrun kok gak kebagian ya "
"113","Negatif",-2," orang antri sembako di kelurahan dikasi caion duit wadas  cebong goblok lgsg rcata dssar tolol luh"
"114","Negatif",-2," tweet melawan di wadas oyek waduk bener ndoro buti rworejo sedang ngu "
"115","Netral",0," ganjar dr pdip diduga korui ektdidukung oligarkikonglomerat  kasus wadas mbuat rda hutan gun "
"116","Negatif",-1," warga klaten dan wadas gimana   "
"117","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"118","Negatif",-2," tdk sukaprabowo emosional dan kadang tdk kontrol dlm sisi a dan dmnpuan masak dia lagi dia lagi ga"
"119","Positif",1," ganjar minim estasi yg terdengar cuma kasus wadas kendeng banjir rob hobby nontonqiqiqi"
"120","Negatif",-2," sok soan mau berantas tmbng ilegalyg ada di lereng kendeng dan wadas di ilegalkn demi cukong walau "
"121","Netral",0,"  gubernur pendukung penambangan batu wadas koq diharaan tegas sama nambang too much exctation"
"122","Netral",0," ali habis tambang semen kendeng terbitlah wadas purworejojateng tidak ramah untuk wong cilik wong cilik selalu terusi"
"123","Negatif",-2," wadas termasuk ilegal ga k"
"124","Netral",0,"tweet semoga wadas juga dibahas"
"125","Negatif",-1," bukti wadas itu fitnah wkwkwk"
"126","Negatif",-3," rakyat indonesia ngga sebego yg lu sangka cebong tolol  ganjar ga rlu di fitnah semua tau peristi "
"127","Negatif",-1," coba ngomong di wadas pingin dilemr kai tai kebo lo"
"128","Netral",0," warga milih ganjar warga wadas mksd nya ato warga uto ni"
"129","Netral",0," warga wadas"
"130","Netral",0," suheri  "
"131","Negatif",-1,"wadas aja juga belum selselai kasusnya cih"
"132","Positif",1," amanah untuk wadas"
"133","Negatif",-1," beda kalau sama bu susi yaelah kemarin aja bu yg wadas tau sendiri"
"134","Negatif",-3,"  selesai dari mana mayoritas warga ajukan gugatan yg d ganti rugi cm  warga wadas sisa "
"135","Negatif",-1," melawan widididididuuuwww"
"136","Negatif",-2," alfihelza ali id indonesia melihat mendengar dan membaca kami menilaisemoga warga wadas di beri"
"137","Netral",0," ali habis tambang semen kendeng terbitlah wadas purworejojateng tidak ramah untuk wong cilik wong cilik selalu terusi"
"138","Netral",0," ali habis tambang semen kendeng terbitlah wadas purworejojateng tidak ramah untuk wong cilik wong cilik selalu terusi"
"139","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"140","Positif",1," ump jawa tengah terendah seindonesiakasus wadas nggak selesaikemiskinan ekstrim dijateng sangat besara iya rakyat"
"141","Netral",0,"riyadi wadas justru malh dah bnyk rhatian krn blish d media yg gela ini yg buth "
"142","Netral",0,"  udah selesai kok masih demo ke dpr bokemulu lu tonton "
"143","Positif",2,"  wadas beres semua senyum gembira pd kaya mndadak org sana datang jajng lu ntar mlm tahajud"
"144","Positif",1," ke wadas aja kalau mau gebrak"
"145","Netral",0," wadas ye coba di gebrak"
"146","Netral",0," urus dulu jateng sama wadas suka nonton boke"
"147","Netral",0," wadas cemananya "
"148","Positif",1,"ohgubernur boke bikin janjikabar wadas ye fen boke "
"149","Netral",0,"wadas di bahas gak den boke "
"150","Negatif",-1,"bacotwadas sama kendeng rakyatnya sendiri aja dicuekin "
"151","Negatif",-1," tweet melawan samn ramng tow ndoro"
"152","Netral",0," ak salam akal sehat "
"153","Negatif",-2," ga bakal mam lahterbukti dari kendeng dan wadaskacung"
"154","Netral",0,"  gubernur pendukung penambangan batu wadas koq diharaan tegas sama nambang too much exctation"
"155","Positif",1,"ump jawa tengah terendah seindonesiakasus wadas nggak selesaikemiskinan ekstrim dijateng sangat besara iy "
"156","Negatif",-1," yah jelas loe sting foto almarhum ayolah a salah almarhumah bu ivo da loe cong  "
"157","Netral",0," katanya minat sangat tinggi  kok masih ditawarkan   "
"158","Negatif",-2," yah gw bukan nga nih nusantara dan cebong yg lain yg jadikan foto almarhum bu ivo itu buat bully anies  klu keta"
"159","Netral",0," yah tiati loe bong diciduk polri  krn yg loe bully itu almarhum anak ulama besar dn almarhum juga"
"160","Negatif",-2," kalau si uban o rakyat sih kagak ada tuh yg namanya kasus wadas dan kendeng"
"161","Negatif",-2," saewad undangan resmi munajat akbar dan indonesia bersholawat  untuk nkri jangan lu hadiri syiarkan dan sebarkan"
"162","Netral",0," yah wasda manuver pdip cs di dpr buat gagalkan laks yudo tnial buat jadi panglima tni demi loloskan si dudung baliho"
"163","Netral",0," ganjar dekat rakyat kecuali wadas "
"164","Netral",0," marm kknperjuangan kkn berdalil konstitusi "
"165","Negatif",-2," yah gusdur gw ungkit krn kalian ra cebong anggadia wali  padahal dia mangku bini org dan dia belq dorce dan anaknya ou"
"166","Netral",0,"hhmmmmbukan nya genjeryg memrkusi warga wadasdemi kentingan oligarkiwatak kumunis itu gamng di tebak "
"167","Netral",0,"yah mingkem kalo soal wadasra ra tidak tahu"
"168","Positif",1,"tweet pak ganjar tahun tahun sebelumnya dimana  kemanusiaan wadas sami ke sat juga di lindungi k ganjar"
"169","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"170","Netral",0," yah ada cebong yg olok bu ivo almarhum nih om  "
"171","Negatif",-2," jateng ribut ribut wadas dijadikan tambang itu emang sia dibelakangnya coba wkwkwkwkw"
"172","Netral",0,"jd wadas gmn k "
"173","Negatif",-1," tai kucingwadas aja dia yang kasih"
"174","Netral",0," gimana kabar warga yag si gusur di wadas marah sering ncintraan gimana ke miskinan intinya kita lih "
"175","Netral",0,"q andriana iya sih yakasus wadas ja dia cuek ja kaya nya"
"176","Netral",0," gubernur kan tinggal kasih rintah k lda kayak di wadas waktu itu sikat "
"177","Negatif",-3,"  daerah zona korui wadas rusuh urus mafia tambang gagal ngen coas caes  "
"178","Positif",1," melawan selamat muktamar muhammadiyah ke detikdetik snduk wadas melawan di rams ksa oleh arat snduk tersebut"
"179","Netral",0,"  gubernur pendukung penambangan batu wadas koq diharaan tegas sama nambang too much exctation"
"180","Negatif",-1," melawan ganti untungnya x ga sesuai"
"181","Netral",0," assalamualaikum wadas"
"182","Netral",0," wadas masih inget k"
"183","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"184","Negatif",-1," anies cerdasntar diomasi ngalaman litik msh kurangpuan belum nemu kelebihannya bad att "
"185","Negatif",-1," gue ttogahsbb trik rekodnya gue taubank jateng sama wadas"
"186","Netral",0," yucukuwarga wadas ae sing sengsara"
"187","Negatif",-3," udah gagal mslh marak nya tambang gagal mslh wadas gagal angkat ovinsi nya dr kemiskinan trs mau nyaes halloooo"
"188","Netral",0,"  gubernur pendukung penambangan batu wadas koq diharaan tegas sama nambang too much exctation"
"189","Netral",0,"  gubernur pendukung penambangan batu wadas koq diharaan tegas sama nambang too much exctation"
"190","Netral",0," halo wadasa kabarmu sekarang"
"191","Negatif",-1," eeeee ktp eeeeee wadas eeeee brik semen eeeeee ovinsi termiskin etc"
"192","Negatif",-2,"  loe klo ngomong jangan asal jeak saja masalah wadas sudah selesai warga di sana dat "
"193","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"194","Netral",0," si rambut tih ling rendah tu  buangsat mikirin rakyat  wadas no baru"
"195","Negatif",-1," okeh minus wadas ya"
"196","Negatif",-1," desa wadas gmn khbr ya k ganjar "
"197","Netral",0," cabut dong ijin tambang di wadas purworejo"
"198","Negatif",-1," piye kabare melawan tambang untuk rakyat  "
"199","Positif",1," terus wadas ditaruh dimana"
"200","Netral",0,"wadas kandangan temanggung "
"201","Positif",1,"gita datanglah ke wadas jk rlu sy antar bisa dm biar tahu langsung bkn "
"202","Negatif",-5," yang ilegal milik rakyat kecil diberantas yg nya duit meramk sda dibiarin dan dibantu serti wadas ya "
"203","Positif",1," sedgkan cadangan batu asal kegiatan gunung api purba biasanya berbentuk intrusi ato endan breksi contoh tamba "
"204","Netral",0,"  gubernur pendukung penambangan batu wadas koq diharaan tegas sama nambang too much exctation"
"205","Negatif",-1," yu buktinya wadas kalau ga diramein di medsossti mrk tertindas"
"206","Negatif",-2," kl yg d wadas gk ilegal ya"
"207","Netral",0," anies lah jakarta gak rnah begejolak karena dekat dengan rakyat ada masalah win solusi contoh jaklingk "
"208","Negatif",-1," lho bukannya udh cair ganti ruginya banyak milyarder baru disana dat ganti ruginya "
"209","Negatif",-1," gita kena dg wadas kadrun kok gak kebagian ya "
"210","Negatif",-3," jangan pilih ganjar rambut putih piaraan oligarkiboro mikirin rakyatwadas merana jateng ovinsi termiskin sejaw"
"211","Negatif",-1," ini stingan ling unik dari jabat di negri wakanda rakor dalam meyika tambang ilegal dan mem "
"212","Netral",0," didu abalabal matamu cekwoiiii e ktp gmnwarga wadas a kabarnyajateng jd  "
"213","Negatif",-2,"kalau si uban o rakyat sih kagak ada tuh yg namanya kasus wadas dan kendeng"
"214","Positif",1," wadas udah cairr banyak milyarder baru "
"215","Negatif",-2,"  nga rnah baca berita jng ngetwit wadas dah beres"
"216","Negatif",-1,"om melawan ada komen dng rnyataan ini  "
"217","Negatif",-1," wadas itu galian c bukan sih den"
"218","Netral",0,"  maiduguri but  for apc members"
"219","Netral",0," jateng model kek gini mau jadi esiden wadas aja kagak jelas sekarang yang ini lagi bilang bekingan gede"
"220","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"221","Netral",0," gimmickwadas a kabarnya bos "
"222","Netral",0,"  gubernur pendukung penambangan batu wadas koq diharaan tegas sama nambang too much exctation"
"223","Netral",0," kasus wadas tidak mencerminkan kedkatan belau dengan rakyat"
"224","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"225","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"226","Negatif",-1," piye kabare melawan tambang untuk rakyat  "
"227","Netral",0," bgm kabar wadas mbake"
"228","Positif",2," urus dulu jawa tengah jangan sami jadi ovinsi termiskin di lau jawa warga wadas "
"229","Negatif",-1," gita kena dg wadas kadrun kok gak kebagian ya "
"230","Negatif",-1," gita kena dg wadas kadrun kok gak kebagian ya "
"231","Positif",1," wadas aja k urusin dulu"
"232","Netral",0," melawan hentikan bujuk rayu da warga wadas kami tetakonsisten melawansebulan terakhir ini warga wadas mengalami keresah"
"233","Negatif",-1,"selling termasyuk wadas ga ndoro"
"234","Negatif",-1," kalau wadas legal atau ilegal gan"
"235","Netral",0," wadas gimana"
"236","Positif",1," wah bohir tambang  wadas disikat den bokenih"
"237","Negatif",-1," melawan wadas ye pak ckckckc"
"238","Negatif",-5," yang ilegal milik rakyat kecil diberantas yg nya duit meramk sda dibiarin dan dibantu serti wadas ya "
"239","Netral",0,"kwkwkwkwkwkwjadi ingat wadas "
"240","Positif",1," gita itu sumber darimananih ada lho akun resminya rakyat wadas asli jangan t"
"241","Negatif",-1," gita kena dg wadas kadrun kok gak kebagian ya "
"242","Netral",0," jokodok itu a  "
"243","Netral",0," tti hari ini "
"244","Negatif",-1," piye kabare melawan tambang untuk rakyat  "
"245","Netral",0,"seharusnya sholawat nya dr wadas "
"246","Negatif",-1," gw kira ada aan kok jokodok trending ternyata mas  ngatain kela negara jokodok ga son amat nih buzzer"
"247","Negatif",-3," pemerintah mengumumkan sal ncemaran nama baik dan nghinaan yang tertuang dalam pasal  dan pasal  uu ite diha"
"248","Netral",0,"  gubernur pendukung penambangan batu wadas koq diharaan tegas sama nambang too much exctation"
"249","Negatif",-4," warga wadas dat ganti rugi loh mereka justru malah untungkalo baca berita jangan sete "
"250","Positif",2," mohon bantuan sahabat sekalianserta yang mulia maharaja buzzerruntuk menjawab ini hi hi "
"251","Negatif",-1," kau kir bangsa ini mayoritas cebong yg main fitnahganjar suka bokekau kir fitnahhak wadas yg di "
"252","Positif",1," sebagian kami melakukan layanan di skes rssebagian kami membantu korban bencanasebagian kami turun aksi memrjua"
"253","Positif",1," semoga wadas mendatkan keadilan"
"254","Negatif",-2,"kami tetamelawan dan menolak tambang di desa wadas "
"255","Negatif",-4," ahngeleswadas yang jelas diden mata saja gak selesaibelum lagi tanah jalan toll"
"256","Netral",0," wadas ye njar"
"257","Positif",1,"gita itu sumber darimananih ada lho akun resminya rakyat wadas asli  "
"258","Netral",0," wadas brik semen kok di acc  banjir seluruh jateng banjir rob pantura lokalan aja blm beres "
"259","Netral",0," oh ntes yah tambang bertebaran di manamana termasuk wadas"
"260","Negatif",-1,"tweet semoga gara mas gibran tu k ganjar evaluasi juga soal wadas awas aja kalo k ganjar gantian yg "
"261","Negatif",-1," cerh melawan malah mrk kek kaya mendadak ketiban durian"
"262","Netral",0," eka sahsa dengan dibangunnya waduk wadas lihat nant "
"263","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"264","Negatif",-1," gita kena dg wadas kadrun kok gak kebagian ya "
"265","Negatif",-1," wadas tambang ilegal yang legal"
"266","Netral",0," sk jateng wadaswadaswadastak cut cangkemu nggo adas langsung jontor lambemu"
"267","Netral",0," kalo wadas bekingnya sendiri "
"268","Netral",0," ga ke wadas"
"269","Netral",0," dekat ma rkyt desa wadas mo dihajarpiye kang survei"
"270","Netral",0," katili wadas gmn kanar"
"271","Negatif",-1," jateng wadas juga ya k"
"272","Negatif",-5," yang ilegal milik rakyat kecil diberantas yg nya duit meramk sda dibiarin dan dibantu serti wadas ya "
"273","Positif",2," wodas wadas terus sih tinggal di daya lengkasj yg blm d haknya trs sowan baik ke "
"274","Negatif",-3," ganjar dekat sama rakyat orang ada kasus wadas saja malah ngerahin polisi ketimbang dia turun langsung "
"275","Netral",0," adeeee retorika doank wadas sekarang gimana"
"276","Netral",0," jateng model kek gini mau jadi esiden wadas aja kagak jelas sekarang yang ini lagi bilang bekingan gede"
"277","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"278","Positif",1," urus dulu wadas kali yaaa"
"279","Negatif",-3," jangan pilih ganjar rambut putih piaraan oligarkiboro mikirin rakyatwadas merana jateng ovinsi termiskin sejaw"
"280","Negatif",-3," jangan pilih ganjar rambut putih piaraan oligarkiboro mikirin rakyatwadas merana jateng ovinsi termiskin sejaw"
"281","Netral",0,"  kalimantan sugema "
"282","Netral",0," jateng wadas gimana colek juga dong "
"283","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"284","Positif",1,"tweet mas tak doake njenengan dadi gubernur jateng terus isoh ngramngi masalah urut sewu wadas kendeng "
"285","Netral",0," wadas wadas wadas a rakyat wadas nggak sengsoro"
"286","Positif",2," ganjar tdk suka dg bujernya yg selalu kodran kadrun bagi yg tdk setuju takutnya terkotak lgidgn mu "
"287","Netral",0,"  kalimantan sugema "
"288","Positif",1," ririn prestasi ganjar ganti untung warga wadasganjaranowoganjaranowoganjarkitaganjaruntukindonesiasahabatganjar"
"289","Netral",0," disaat semua heboh  aku merangkak naik "
"290","Netral",0,"  kalimantan sugema "
"291","Negatif",-1," wadas sengsara ga k"
"292","Positif",2," hi tolong kasitahu pak budi heru k relawan x k   miliar lumayan buat ndatan dki tagih ke nitia"
"293","Netral",0," jateng a kabar wadas"
"294","Netral",0," aniesid pelaku nganiyaan disabilitas di kota ende ntt akhirnya diciduk  "
"295","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"296","Netral",0," prbwo  orator baguscerdasnya wibawa  suka timbul tenggelam anies  cerdasberkharismahasil ke "
"297","Negatif",-2," saewad ronaldo menolak gunakan ban kaen karena menghormati muslimsementara ada yang mengaku islam ta mendukung lgbt"
"298","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"299","Negatif",-4," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"300","Netral",0," pak gubminta masyarakat wadas didoakan oleh ta habaib"
"301","Netral",0,"  sebagai kader pdip terlihat berambisi menjadi esiden dengan bermanuver mendahului wewenang megawati "
"302","Negatif",-1," ganjarorangnya baik ta sayang kebanyakan main medsos dan ncitraan untuk menutu kegagalannya di "
"303","Negatif",-2,"  jangan pilih ganjar rambut putih piaraan oligarkiboro mikirin rakyatyang adawadas merana jateng ovinsi termisk"
"304","Negatif",-2,"humoris gub jatengpl ngaku sendiriisu ektp wadas blm ada rtai hasil kerja kurang jelas kurang berw "
"305","Netral",0," puan suka matikan mic hanya mengandalkan nama besar soekarno ganjar masalah jateng banyak tidak tu "
"306","Netral",0," soal wadas uya ganjar diaesiasi komisi iii dpr ridesmond politisi partai gerindra pantauan di lokasi saat mengunju"
"307","Negatif",-3," jangan pilih ganjar rambut putih piaraan oligarkiboro mikirin rakyatwadas merana jateng ovinsi termiskin sejaw"
"308","Negatif",-5," yang ilegal milik rakyat kecil diberantas yg nya duit meramk sda dibiarin dan dibantu serti wadas ya "
"309","Negatif",-1," ganjarkurang tau juga ofil beliau selain sbgai gubernur jateng like  sama dgn yg diatas masih men "
"310","Negatif",-1," ganjarkalau jadi esiden kayaknya bakal serti yang sekarang serti boneka yang bisa di kendalikan "
"311","Netral",0," di wadas ada gak k mall temt ngaduan untuk warga"
"312","Negatif",-3," eksistensi ganjar dibenak hamr semua orang adalahbokewadastiktokkendengpronsi miskinreal bukan fitnah"
